"Data Import Template"
"Table:","Purchase Order"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Purchase Order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Order Item","po_details","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Taxes and Charges","other_charges","","","","","","","","","","~","Purchase Order Item Supplied","po_raw_material_details","","","","","","",""
"Column Labels:","ID","Series","Supplier","Date","Company","Currency","Exchange Rate","Status","Fiscal Year","Name","Buy Back Requisition Ref","warehouse","IMEI No","Colour","Paper Voucher Pin","Amended From","Price List","Price List Currency","Price List Exchange Rate","Ignore Pricing Rule","Net Total (Company Currency)","Net Total","Taxes and Charges","Taxes and Charges Added (Company Currency)","Taxes and Charges Deducted (Company Currency)","Total Tax (Company Currency)","Grand Total (Company Currency)","In Words (Company Currency)","Rounded Total (Company Currency)","Advance Paid","Taxes and Charges Added","Taxes and Charges Deducted","Grand Total","In Words","Terms","Terms and Conditions","Supplier Address","Contact Person","Is Subcontracted","Letter Head","Print Heading","% Received","% Billed","Is Recurring","Recurring Type","From Date","To Date","Repeat on Day of Month","End Date","Next Date","Recurring Id","Notification Email Address","","ID","Item Code","Item Name","Reqd By Date","Description","Quantity","UOM","Stock UOM","UOM Conversion Factor","Rate (Company Currency)","Amount (Company Currency)","Price List Rate","Discount %","Price List Rate (Company Currency)","Rate ","Amount","Pricing Rule","Warehouse","Project Name","Material Request No","Supplier Quotation","Qty as per Stock UOM","Received Qty","Billed Amt","Page Break","","ID","Consider Tax or Charge for","Add or Deduct","Type","Description","Account Head","Reference Row #","Cost Center","Rate","Amount","Total","","ID","Reference Name","BOM Detail No","Item Code","Raw Material Item Code","Required Qty","Rate","Amount","Stock Uom"
"","""PO-BB-00089""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00114","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,2000.0,2000.0,"",0.0,0.0,0.0,2000.0,"NGN Two Thousand only.",2000.0,"",0.0,0.0,2000.0,"NGN Two Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00106""","Nokia","Nokia","2015-02-27","Nokia",1.0,"Nos","Nos",1.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00090""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00115","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,200.0,200.0,"",0.0,0.0,0.0,200.0,"NGN Two Hundred only.",200.0,"",0.0,0.0,200.0,"NGN Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00107""","Samsung","Samsung-S2","2015-02-27","Samsung",1.0,"Nos","Nos",1.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00085""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00105","Nokia warehouse - M","123456789221122","black","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00102""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00084""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00106","Nokia warehouse - M","123456789000000","purple","VS0W","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00101""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00083""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00110","Nokia warehouse - M","123456789123222","Red","PV00002","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00100""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00080""","PO-BB-","Slot buy back program","2015-02-26","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00108","Nokia warehouse - M","","","vs009","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00097""","Galaxy Grand","Galaxy Grand","2015-02-26","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00086""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00111","Nokia warehouse - M","123423434234343","black","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00103""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00082""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00107","Nokia warehouse - M","","","PV000ER","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00099""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00081""","PO-BB-","Slot buy back program","2015-02-26","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00109","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00098""","Black Berry","Black Berry","2015-02-26","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00079""","PO-BB-","Slot buy back program","2015-02-26","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00107","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00096""","Black Berry","Black Berry","2015-02-26","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00078""","PO-BB-","Slot buy back program","2015-02-26","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00106","Nokia warehouse - M","","","VS0W","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00095""","Black Berry","Black Berry","2015-02-26","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00077""","PO-BB-","Slot buy back program","2015-02-26","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00105","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00094""","Black Berry","Black Berry","2015-02-26","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00076""","PO-BB-","Slot buy back program","2015-02-23","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00097","Samsung warehouse - M","667853456789234","Red","","","Standard Buying","NGN",1.0,0,12000.0,12000.0,"",0.0,0.0,0.0,12000.0,"NGN Twelve Thousand only.",12000.0,"",0.0,0.0,12000.0,"NGN Twelve Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00093""","Galaxy Grand","Galaxy Grand","2015-02-23","Galaxy Grand",1.0,"Nos","Nos",1.0,12000.0,12000.0,16685.0,0.0,16685.0,12000.0,12000.0,"","Samsung warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00075""","PO-BB-","Slot buy back program","2015-02-23","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00096","Samsung warehouse - M","987654321234567","Red","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00092""","Black Berry","Black Berry","2015-02-23","Black Berry",1.0,"Nos","Nos",1.0,25000.0,25000.0,45000.0,0.0,45000.0,25000.0,25000.0,"","Samsung warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00074""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00095","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,43200.0,43200.0,"",0.0,0.0,0.0,43200.0,"NGN Forty-Three Thousand, Two Hundred only.",43200.0,"",0.0,0.0,43200.0,"NGN Forty-Three Thousand, Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00091""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,43200.0,43200.0,45000.0,0.0,45000.0,43200.0,43200.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00072""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00060","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00089""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00071""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00065","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00088""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00070""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00069","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00087""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00069""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00073","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00086""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00073""","PO-BB-","Slot buy back program","2015-02-21","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00062","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00090""","Black Berry","Black Berry","2015-02-21","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00067""","PO-BB-","Slot buy back program","2015-02-20","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00093","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00084""","Black Berry","Black Berry","2015-02-20","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00066""","PO-BB-","Slot buy back program","2015-02-19","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00092","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00083""","Black Berry","Black Berry","2015-02-19","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00068""","PO-BB-","Slot buy back program","2015-02-20","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00094","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00085""","Galaxy Grand","Galaxy Grand","2015-02-20","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Tejal Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
